rank,C,epsilon,gamma,val_MAE,val_RMSE,val_R2,n_support,is_best
1,100.0,0.1,scale,0.0009164169829947263,0.001377120398840378,0.6493113083190873,926,True
2,100.0,0.1,auto,0.0009164169829947263,0.001377120398840378,0.6493113083190873,926,False
3,10.0,0.1,scale,0.0009087074854775219,0.0014481427957439995,0.6122063305345782,847,False
4,10.0,0.1,auto,0.0009087074854775219,0.0014481427957439995,0.6122063305345782,847,False
5,10.0,0.01,scale,0.0009583299914459813,0.0015004267935525314,0.5836988977606963,1457,False
6,10.0,0.01,auto,0.0009583299914459813,0.0015004267935525314,0.5836988977606963,1457,False
7,10.0,0.001,scale,0.000974436028329208,0.0015217688234290846,0.5717717600413534,1529,False
8,10.0,0.001,auto,0.000974436028329208,0.0015217688234290846,0.5717717600413534,1529,False
9,1.0,0.01,scale,0.0009102527757810302,0.0015446268480051996,0.5588105715190672,1453,False
10,1.0,0.01,auto,0.0009102527757810302,0.0015446268480051996,0.5588105715190672,1453,False
11,1.0,0.001,scale,0.0009168392051867812,0.0015556951235096692,0.5524650883296615,1526,False
12,1.0,0.001,auto,0.0009168392051867812,0.0015556951235096692,0.5524650883296615,1526,False
13,1.0,0.1,scale,0.000991996625344061,0.0016151146153538826,0.5176251758109038,799,False
14,1.0,0.1,auto,0.000991996625344061,0.0016151146153538826,0.5176251758109038,799,False
15,100.0,0.01,scale,0.001268829334852899,0.0017087727075353462,0.4600587137709391,1482,False
16,100.0,0.01,auto,0.001268829334852899,0.0017087727075353462,0.4600587137709391,1482,False
17,100.0,0.001,scale,0.0013016491225899655,0.0017535941266059749,0.4313617056603013,1528,False
18,100.0,0.001,auto,0.0013016491225899655,0.0017535941266059749,0.4313617056603013,1528,False
19,0.1,0.01,scale,0.0013382096482835288,0.0019830814235377125,0.2727913574282871,1462,False
20,0.1,0.01,auto,0.0013382096482835288,0.0019830814235377125,0.2727913574282871,1462,False
21,0.1,0.001,scale,0.0013482755176285155,0.0019928033245470915,0.2656437133169339,1528,False
22,0.1,0.001,auto,0.0013482755176285155,0.0019928033245470915,0.2656437133169339,1528,False
23,0.1,0.1,scale,0.0013408482800279385,0.002040259582805989,0.23025160552657398,871,False
24,0.1,0.1,auto,0.0013408482800279385,0.002040259582805989,0.23025160552657398,871,False
